scheme,year,rank,score
Research Grants,2022,1,9.31
Research Grants,2022,2,9
Research Grants,2022,3,8.95
Research Grants,2022,4,8.88
Research Grants,2022,5,8.69
Research Grants,2022,6,8.64
Research Grants,2022,7,8.55
Research Grants,2022,8,8.45
Research Grants,2022,9,8.4
Research Grants,2022,10,8.32
Research Grants,2022,11,8.3
Research Grants,2022,12,8.15
Research Grants,2022,13,8.1
Research Grants,2022,14,7.8
Research Grants,2022,15,7.79
Research Grants,2022,16,7.73
Research Grants,2022,17,7.66
Research Grants,2022,18,7.25
Research Grants,2022,19,7.17
Research Grants,2022,20,7.15
Research Grants,2022,21,7.11
Research Grants,2022,22,7.07
Research Grants,2022,23,7.07
Research Grants,2022,24,7.03
Research Grants,2022,25,7
Research Grants,2022,26,6.93
Research Grants,2022,27,6.88
Research Grants,2022,28,6.77
Research Grants,2022,29,6.68
Research Grants,2022,30,6.59
Research Grants,2022,31,6.55
Research Grants,2022,32,6.53
Research Grants,2022,33,6.41
Research Grants,2022,34,6.4
Research Grants,2022,35,6.4
Research Grants,2022,36,6.39
Research Grants,2022,37,6.36
Research Grants,2022,38,6.35
Research Grants,2022,39,6.33
Research Grants,2022,40,6.2
Research Grants,2022,41,6.18
Research Grants,2022,42,6.17
Research Grants,2022,43,6.1
Research Grants,2022,44,6.05
Research Grants,2022,45,5.91
Research Grants,2022,46,5.9
Research Grants,2022,47,5.86
Research Grants,2022,48,5.85
Research Grants,2022,49,5.8
Research Grants,2022,50,5.77
Research Grants,2022,51,5.67
Research Grants,2022,52,4.89
Research Grants,2022,53,4.55
Research Grants,2022,54,4.38
Research Grants,2022,55,3.77
Research Grants,2022,56,3.55
Research Grants,2022,57,2.36
Research Grants,2023,1,9.83
Research Grants,2023,2,9.33
Research Grants,2023,3,8.96
Research Grants,2023,4,8.91
Research Grants,2023,5,8.72
Research Grants,2023,6,8.55
Research Grants,2023,7,8.52
Research Grants,2023,8,8.5
Research Grants,2023,9,8.45
Research Grants,2023,10,8.4
Research Grants,2023,11,8.35
Research Grants,2023,12,8.34
Research Grants,2023,13,8.25
Research Grants,2023,14,8.21
Research Grants,2023,15,8.2
Research Grants,2023,16,8.06
Research Grants,2023,17,7.93
Research Grants,2023,18,7.91
Research Grants,2023,19,7.83
Research Grants,2023,20,7.77
Research Grants,2023,21,7.76
Research Grants,2023,22,7.76
Research Grants,2023,23,7.72
Research Grants,2023,24,7.7
Research Grants,2023,25,7.65
Research Grants,2023,26,7.63
Research Grants,2023,27,7.54
Research Grants,2023,28,7.43
Research Grants,2023,29,7.41
Research Grants,2023,30,7.34
Research Grants,2023,31,7.27
Research Grants,2023,32,7.18
Research Grants,2023,33,7.11
Research Grants,2023,34,7
Research Grants,2023,35,6.96
Research Grants,2023,36,6.8
Research Grants,2023,37,6.77
Research Grants,2023,38,6.76
Research Grants,2023,39,6.74
Research Grants,2023,40,6.7
Research Grants,2023,41,6.7
Research Grants,2023,42,6.69
Research Grants,2023,43,6.59
Research Grants,2023,44,6.59
Research Grants,2023,45,6.57
Research Grants,2023,46,6.52
Research Grants,2023,47,6.48
Research Grants,2023,48,6.45
Research Grants,2023,49,6.37
Research Grants,2023,50,6.35
Research Grants,2023,51,6.35
Research Grants,2023,52,6.32
Research Grants,2023,53,6.32
Research Grants,2023,54,6.28
Research Grants,2023,55,6.22
Research Grants,2023,56,6.15
Research Grants,2023,57,6.15
Research Grants,2023,58,6.13
Research Grants,2023,59,6.13
Research Grants,2023,60,6.1
Research Grants,2023,61,6.09
Research Grants,2023,62,6.07
Research Grants,2023,63,6.07
Research Grants,2023,64,6
Research Grants,2023,65,5.85
Research Grants,2023,66,5.8
Research Grants,2023,67,5.68
Research Grants,2023,68,5.66
Research Grants,2023,69,5.61
Research Grants,2023,70,5.59
Research Grants,2023,71,5.34
Research Grants,2023,72,5.22
Research Grants,2023,73,5.13
Research Grants,2023,74,5.09
Research Grants,2023,75,5.04
Research Grants,2023,76,5
Research Grants,2023,77,5
Research Grants,2023,78,5
Research Grants,2023,79,4.84
Research Grants,2023,80,4.67
Research Grants,2023,81,2.67
Research Grants,2023,82,2.5
Research Grants,2024,1,9.23
Research Grants,2024,2,9.09
Research Grants,2024,3,8.96
Research Grants,2024,4,8.85
Research Grants,2024,5,8.7
Research Grants,2024,6,8.69
Research Grants,2024,7,8.65
Research Grants,2024,8,8.63
Research Grants,2024,9,8.6
Research Grants,2024,9,8.6
Research Grants,2024,11,8.54
Research Grants,2024,12,8.52
Research Grants,2024,13,8.5
Research Grants,2024,14,8.44
Research Grants,2024,15,8.35
Research Grants,2024,16,8.31
Research Grants,2024,17,8.28
Research Grants,2024,18,8.19
Research Grants,2024,19,8.15
Research Grants,2024,20,7.94
Research Grants,2024,21,7.92
Research Grants,2024,22,7.85
Research Grants,2024,23,7.73
Research Grants,2024,24,7.42
Research Grants,2024,24,7.42
Research Grants,2024,26,7.15
Research Grants,2024,27,7.04
Research Grants,2024,28,6.96
Research Grants,2024,29,6.92
Research Grants,2024,30,6.9
Research Grants,2024,31,6.88
Research Grants,2024,32,6.82
Research Grants,2024,33,6.77
Research Grants,2024,34,6.75
Research Grants,2024,35,6.65
Research Grants,2024,36,6.6
Research Grants,2024,37,6.58
Research Grants,2024,38,6.58
Research Grants,2024,39,6.56
Research Grants,2024,40,6.5
Research Grants,2024,41,6.39
Research Grants,2024,42,6.35
Research Grants,2024,43,6.28
Research Grants,2024,44,6.21
Research Grants,2024,45,6.1
Research Grants,2024,46,6.1
Research Grants,2024,47,6.02
Research Grants,2024,48,5.96
Research Grants,2024,49,5.85
Research Grants,2024,50,5.83
Research Grants,2024,51,5.81
Research Grants,2024,52,5.65
Research Grants,2024,53,5.63
Research Grants,2024,54,5.6
Research Grants,2024,55,5.48
Research Grants,2024,56,5.44
Research Grants,2024,57,5.38
Research Grants,2024,58,5.13
Research Grants,2024,59,4.98
Research Grants,2024,60,4.94
Research Grants,2024,61,4.83
Research Grants,2024,62,4.55
Research Grants,2024,63,4.5
Research Grants,2024,64,4.48
Research Grants,2024,65,4.02
Research Grants,2025,1,9.4
Research Grants,2025,2,9.3
Research Grants,2025,3,8.9
Research Grants,2025,4,8.9
Research Grants,2025,5,8.8
Research Grants,2025,6,8.8
Research Grants,2025,7,8.7
Research Grants,2025,7,8.7
Research Grants,2025,9,8.6
Research Grants,2025,10,8.5
Research Grants,2025,11,8.5
Research Grants,2025,12,8.3
Research Grants,2025,13,8.3
Research Grants,2025,14,8.3
Research Grants,2025,15,8.1
Research Grants,2025,16,8
Research Grants,2025,16,8
Research Grants,2025,18,8
Research Grants,2025,19,8
Research Grants,2025,20,7.9
Research Grants,2025,21,7.8
Research Grants,2025,22,7.8
Research Grants,2025,23,7.7
Research Grants,2025,24,7.7
Research Grants,2025,25,7.7
Research Grants,2025,26,7.6
Research Grants,2025,27,7.5
Research Grants,2025,28,7.4
Research Grants,2025,29,7.3
Research Grants,2025,30,7.1
Research Grants,2025,31,7.1
Research Grants,2025,32,7
Research Grants,2025,33,7
Research Grants,2025,34,7
Research Grants,2025,35,6.9
Research Grants,2025,35,6.9
Research Grants,2025,37,6.9
Research Grants,2025,38,6.9
Research Grants,2025,39,6.9
Research Grants,2025,40,6.5
Research Grants,2025,41,6.5
Research Grants,2025,42,6.4
Research Grants,2025,43,6.4
Research Grants,2025,44,6.4
Research Grants,2025,45,6.3
Research Grants,2025,46,6.3
Research Grants,2025,47,6.3
Research Grants,2025,48,6.1
Research Grants,2025,49,6.1
Research Grants,2025,50,6
Research Grants,2025,51,6
Research Grants,2025,52,6
Research Grants,2025,53,5.9
Research Grants,2025,54,5.8
Research Grants,2025,55,5.7
Research Grants,2025,56,5.7
Research Grants,2025,57,5.5
Research Grants,2025,58,5.5
Research Grants,2025,59,5.5
Research Grants,2025,60,5.4
Research Grants,2025,61,5.3
Research Grants,2025,62,5.2
Research Grants,2025,63,5.2
Research Grants,2025,64,5
Research Grants,2025,65,5
Research Grants,2025,65,5
Research Grants,2025,67,5
Research Grants,2025,68,4.3
Research Grants,2025,69,4.1
Research Grants,2025,70,4
Postdoctoral Fellowships,2022,1,9.55
Postdoctoral Fellowships,2022,2,9.41
Postdoctoral Fellowships,2022,3,9.33
Postdoctoral Fellowships,2022,4,9.32
Postdoctoral Fellowships,2022,5,9.18
Postdoctoral Fellowships,2022,6,9.09
Postdoctoral Fellowships,2022,7,9.07
Postdoctoral Fellowships,2022,8,8.87
Postdoctoral Fellowships,2022,9,8.86
Postdoctoral Fellowships,2022,10,8.76
Postdoctoral Fellowships,2022,11,8.74
Postdoctoral Fellowships,2022,12,8.7
Postdoctoral Fellowships,2022,13,8.69
Postdoctoral Fellowships,2022,14,8.65
Postdoctoral Fellowships,2022,15,8.63
Postdoctoral Fellowships,2022,16,8.57
Postdoctoral Fellowships,2022,17,8.52
